Product,TotalQuantity,MA3,MA3_MSE,MA5,MA5_MSE,SES_0.3_M1,SES_0.3_M2,SES_0.3_MSE,SES_0.5_M1,SES_0.5_M2,SES_0.5_MSE,Holt_M1,Holt_M2,Holt_MSE,ARIMA_M1,ARIMA_M2,ARIMA_MSE
Fritos - Original,57,4,30.83333333333333,6,23.753333333333334,5,6,27.137748063114316,5,6,31.038148880004883,4,2,35.173330538593746,6,6,23.738402153533876
Miss Vickie's Potato Chip - Lime & Cracked Pe,57,6,29.345679012345684,3,34.66285714285714,6,4,26.384494146290866,9,7,21.682599501176313,10,17,23.08678032941791,15,14,14.65792496778983
Spindrift - Sparkling Water - Pineapple,56,1,49.71428571428571,2,16.951999999999998,3,3,47.935466736350506,2,2,43.73603651258681,0,0,171.14271098819023,3,4,42.239973358168065
Miss Vickie's Potato Chip - Jalapeno,56,2,13.049382716049386,2,8.85142857142857,4,3,24.19524386100752,3,2,25.282451716336336,3,6,70.89689698183533,1,4,21.38903696213187
Oreo Single Server 6 ct,54,8,170.44444444444446,10,324.0,11,7,145.56969436800003,14,9,155.9625,24,33,307.51116281249995,25,25,180.59998929042928
Good Health Veggie Stix - Sea Salt,54,13,11.111111111111114,,,13,14,67.23003333333332,12,13,79.60416666666667,21,18,282.5366666666667,,,
Lenny & Larrys - Chocolate Chip,53,5,5.444444444444444,5,6.62,6,6,12.785458678879145,7,7,12.310943603515625,8,9,73.41400783256043,8,8,12.377584650409627
Doritos Spicy Nacho,52,8,119.42222222222222,4,106.45333333333333,7,8,79.11607608414913,8,10,92.26185825892857,10,5,191.37932225551452,7,7,76.97900322963822
Pop Corners - Spicy Queso,51,6,26.01851851851852,4,18.11,6,6,17.459074650537744,7,7,17.034088134765625,7,8,29.413961119808075,7,7,14.760746179751571
Doritos Nacho Cheese,49,3,55.68253968253969,5,29.543999999999993,6,5,39.101067669219645,6,5,43.38759528266059,5,9,100.58418619083106,6,6,37.19202201573468
Newtons Fig Bar,49,3,10.271604938271603,3,9.70857142857143,4,4,10.063732724401941,3,4,10.582571203058416,3,1,24.205463852772734,4,4,8.962905153871143
SunChips Multigrain - French Onion,47,10,74.68518518518518,6,82.25000000000001,7,7,62.57948675000769,8,8,72.10294342041016,11,10,159.33817628605996,6,6,62.39383020095916
CheezIt - Cheddar Sour Cream and Onion,47,6,16.650793650793652,5,16.776000000000003,6,5,20.769533405278352,7,6,23.239334106445312,7,9,28.305970309229387,5,7,16.43908372032737
Lenny & Larrys - SnickerDoodle,45,3,10.984126984126984,4,10.079999999999998,5,5,12.063093572971813,4,5,14.674650404188368,4,3,36.686870917070614,6,5,8.20419630414396
Canada Dry - Ginger Ale & Lemonde,43,2,42.18518518518518,6,54.760000000000005,6,7,40.79251767199999,3,4,34.190625,3,-1,124.65030644999997,-1,1,27.740123394380568
RXBAR - Protein Bar - Chocolate Sea Salt,42,5,20.873015873015877,5,16.791999999999998,5,6,14.615535012383516,5,7,16.015389336480034,5,1,41.46945722642985,4,4,14.070536357214102
BodyArmor LYTE  - Peach Mango,41,6,4.45679012345679,5,5.9314285714285715,6,5,4.029645128445023,6,6,3.264677567915483,8,9,3.3646579842363753,7,7,2.8181818181726026
Doritos Cool Ranch,40,2,32.11111111111111,2,14.831999999999999,4,3,29.22851290226922,4,3,34.513760036892364,3,6,39.90853510643441,4,5,24.00854232593192
RXBAR - Protein Bar - Peanut Butter,40,4,15.055555555555557,5,8.53,5,5,13.039430261323918,5,5,13.4234619140625,5,6,17.315368921219783,2,6,8.54535406045835
Cheetos Puffs,39,3,44.24444444444445,2,38.74666666666666,5,4,27.914439187199996,6,4,29.1875,6,12,37.262665142323435,9,7,25.23200055785342
Pringles - Cheddar Cheese,39,10,47.629629629629626,7,0.3599999999999996,8,8,30.9925242,9,10,27.440625,11,9,29.303071378124997,6,6,24.86719579298437
Seapoint Farms Dry Roasted Edamame - Wasabi,39,5,2.777777777777778,5,0.7400000000000002,5,5,3.699729148266181,6,6,4.0054931640625,6,6,22.70905727306253,5,5,4.297526595232795
BodyArmor LYTE - Strawberry Lemonade,37,9,39.85185185185185,7,6.759999999999998,7,8,28.469477177999998,7,9,24.52890625,11,7,28.852175612499984,4,4,18.97986128184879
Pringles - Sour Cream & Onion,36,5,7.0,6,5.760000000000002,6,7,6.880012928000001,6,7,6.4625,7,5,13.753849278125,5,5,3.000821730735631
Snyder's of Hanover Pretzel Pieces - Honey Mu,35,3,9.844444444444447,3,3.2266666666666666,4,4,8.545591954855569,4,4,9.036446707589286,4,4,24.551959479572556,5,5,9.420266227949906
