Product,Forecast_Next_Month,RMSE,Safety_Stock_95,Order_Up_To_Level_95,Safety_Stock_99,Order_Up_To_Level_99
BodyArmor LYTE - Strawberry Lemonade,4.0,4.356588261684686,11.0,15.0,11.0,15.0
Pringles - Sour Cream & Onion,5.0,1.732288004558027,5.0,10.0,5.0,10.0
Snyder's of Hanover Pretzel Pieces - Honey Mu,5.0,3.069245221214803,8.0,13.0,8.0,13.0
Cheetos Cheddar Jalapeno,6.0,3.4808414683412434,9.0,15.0,9.0,15.0
Ritz Bits Cheese,2.0,5.306406694457806,13.0,15.0,13.0,15.0
Snapple Diet Tea - Raspberry,5.0,2.6643270803840764,7.0,12.0,7.0,12.0
Belvita Snack Packs - Blueberry,,,,,,
Jacks Links Bar Beef Strip,,,,,,
Nutri Grain Apple Cinnamon,,,,,,
Nutter Butter Bites,4.0,3.3259739459553446,8.0,12.0,8.0,12.0
BodyArmor  LYTE - Blueberry Pomegranate,2.0,2.8480275200221508,7.0,9.0,7.0,9.0
Simply Protein - Lemon Coconut,,,,,,
Cheetos Baked - Crunchy Cheese,2.0,3.186146159685725,8.0,10.0,8.0,10.0
CheezIt - Go Paks,5.0,3.1122664523189463,8.0,13.0,8.0,13.0
Keto Krisp - Almond Butter,2.0,3.4748552061213824,9.0,11.0,9.0,11.0
Lindens - Chocolate Chippers,,,,,,
Cheetos - Crunchy,6.0,4.333847579884381,11.0,17.0,11.0,17.0
Genius Keto Bar - Chocolate Dream,,,,,,
Cheetos Baked - Flaming Hot,3.0,4.315384970860893,11.0,14.0,11.0,14.0
Popchips Potato - Sea Salt,12.0,3.409377348267793,8.0,20.0,8.0,20.0
V8 Vegetable Juice - Original,2.0,2.5658643010349933,6.0,8.0,6.0,8.0
Mini Chips Ahoy - Go Paks,,,,,,
Snyder's of Hanover Pretzel Pieces - Hot Buff,1.0,4.564882502905844,11.0,12.0,11.0,12.0
Good Health Veggie Stix - Zesty Ranch,,,,,,
Vitamin Water - Squeezed Lemonade,,,,,,
